institution,instnm,city,institution_state,inst_level,fips
1,Institutions in New England Division,,,D,
2,Institutions in Middle Atlantic Division,,,D,
3,Institutions in East North Central Division,,,D,
4,Institutions in West North Central Division,,,D,
5,Institutions in South Atlantic Division,,,D,
6,Institutions in East South Central Division,,,D,
7,Institutions in West South Central Division,,,D,
8,Institutions in Mountain Division,,,D,
9,Institutions in Pacific Division,,,D,
9,Institutions in Connecticut,,,S,9
23,Institutions in Maine,,,S,23
25,Institutions in Massachusetts,,,S,25
33,Institutions in New Hampshire,,,S,33
44,Institutions in Rhode Island,,,S,44
50,Institutions in Vermont,,,S,50
34,Institutions in New Jersey,,,S,34
36,Institutions in New York,,,S,36
42,Institutions in Pennsylvania,,,S,42
17,Institutions in Illinois,,,S,17
18,Institutions in Indiana,,,S,18
26,Institutions in Michigan,,,S,26
39,Institutions in Ohio,,,S,39
55,Institutions in Wisconsin,,,S,55
19,Institutions in Iowa,,,S,19
20,Institutions in Kansas,,,S,20
27,Institutions in Minnesota,,,S,27
29,Institutions in Missouri,,,S,29
31,Institutions in Nebraska,,,S,31
38,Institutions in North Dakota,,,S,38
46,Institutions in South Dakota,,,S,46
10,Institutions in Delaware,,,S,10
11,Institutions in District of Columbia,,,S,11
12,Institutions in Florida,,,S,12
13,Institutions in Georgia,,,S,13
24,Institutions in Maryland,,,S,24
37,Institutions in North Carolina,,,S,37
45,Institutions in South Carolina,,,S,45
51,Institutions in Virginia,,,S,51
54,Institutions in West Virginia,,,S,54
1,Institutions in Alabama,,,S,1
21,Institutions in Kentucky,,,S,21
28,Institutions in Mississippi,,,S,28
47,Institutions in Tennessee,,,S,47
5,Institutions in Arkansas,,,S,5
22,Institutions in Louisiana,,,S,22
40,Institutions in Oklahoma,,,S,40
48,Institutions in Texas,,,S,48
4,Institutions in Arizona,,,S,4
8,Institutions in Colorado,,,S,8
16,Institutions in Idaho,,,S,16
30,Institutions in Montana,,,S,30
32,Institutions in Nevada,,,S,32
35,Institutions in New Mexico,,,S,35
49,Institutions in Utah,,,S,49
56,Institutions in Wyoming,,,S,56
2,Institutions in Alaska,,,S,2
6,Institutions in California,,,S,6
15,Institutions in Hawaii,,,S,15
41,Institutions in Oregon,,,S,41
53,Institutions in Washington,,,S,53
100100,Air University,Maxwell AFB,AL,I,1
100200,Alabama Agricultural & Mechanical University,Normal,AL,I,1
100300,Faulkner University,Montgomery,AL,I,1
100301,Faulkner University - Birmingham Center,Hoover,AL,I,1
100302,Faulkner University - Florence Center,Florence,AL,I,1
100303,Faulkner University - Huntsville Center,Huntsville,AL,I,1
100304,Faulkner University - Mobile Center,Mobile,AL,I,1
100305,Faulkner University -,Alexander City,AL,I,1
100306,Faulkner University -,Anniston,AL,I,1
100307,Faulkner University -,Corinth,MS,I,28
100308,Faulkner University -,Greenville,AL,I,1
100309,Faulkner University -,Hamilton,AL,I,1
100310,Faulkner University -,Monroeville,AL,I,1
100311,Faulkner University -,Roanoke,AL,I,1
100312,Faulkner University -,Selma,AL,I,1
100313,Faulkner University -,Thomasville,AL,I,1
100314,Faulkner University -,Childersburg,AL,I,1
100315,Faulkner University -,Winfield,AL,I,1
100316,Faulkner University -,Andalusia,AL,I,1
100317,Faulkner University -,Auburn,AL,I,1
100318,Faulkner University -,Birmingham,AL,I,1
100319,Faulkner University -,Birmingham,AL,I,1
100320,Faulkner University -,Brundidge,AL,I,1
100321,Faulkner University -,Dothan,AL,I,1
100322,Faulkner University -,Fayette,AL,I,1
100323,Faulkner University -,Daleville,AL,I,1
100324,Faulkner University -,Geneva,AL,I,1
100325,Faulkner University -,Hamilton,AL,I,1
100326,Faulkner University -,Huntsville,AL,I,1
100327,Faulkner University -,Mobile,AL,I,1
100328,Faulkner University -,Mobile,AL,I,1
100329,Faulkner University -,Saraland,AL,I,1
100330,Faulkner University -,Tallassee,AL,I,1
100331,Faulkner University -,Tallassee,AL,I,1
100332,Faulkner University -,Troy,AL,I,1
100333,Faulkner University,Cullman,AL,I,1
100334,Faulkner University -,Jackson,AL,I,1
100335,Faulkner University -,Huntsville,AL,I,1
100336,Faulkner University -,Mobile,AL,I,1
100337,Faulkner University -,Troy,AL,I,1
100338,Faulkner University -,Albertville,AL,I,1
100339,Faulkner University -,Clayton,AL,I,1
100340,Faulkner University -,Guntersville,AL,I,1
100341,Faulkner University -,Foley,AL,I,1
100342,Faulkner University -,Phenix City,AL,I,1
100343,Faulkner University -,Jacksonville,AL,I,1
100400,University of Montevallo,Montevallo,AL,I,1
100401,University of Montevallo - AMSTI Center,Pelham,AL,I,1
100500,Alabama State University,Montgomery,AL,I,1
100600,Alabama State University Mobile Center,Mobile,AL,I,1
100700,Central Alabama Community College,Alexander City,AL,I,1
100701,Central Alabama Community College - Childersburg Campus,Childersburg,AL,I,1
100702,Central Alabama Community College,Talladega,AL,I,1
100703,Central Alabama Community College,Pell City,AL,I,1
100704,Central Alabama Community College,Millbrook,AL,I,1
100705,Central Alabama Community College,Wetumpka,AL,I,1
100706,Central Alabama Community College,Elmore,AL,I,1
100707,Central Alabama Community College - Coosa Valley School of Nursing,Sylacauga,AL,I,1
100708,Central Alabama Community College - Talladega Instructional Site,Talladega,AL,I,1
100709,Central Alabama Community College - Lincoln Instructional Site,Lincoln,AL,I,1
100710,Central Alabama Community College - Pratt's Mill Center,Prattville,AL,I,1
100800,Athens State University,Athens,AL,I,1
100801,Athens State University - Redstone Arsenal Extension,Redstone Arsenal,AL,I,1
100802,Athens State University - Wallace State CC Selma Center,Selma,AL,I,1
100803,Athens State University - Wallace State CC Hanceville Center,Hanceville,AL,I,1
100804,Athens State University - Northeast State CC Center,Rainsville,AL,I,1
100805,Athens State University - Northwest - Shoals CC Center,Muscle Shoals,AL,I,1
100806,Athens State University - Snead State CC Center,Boaz,AL,I,1
100807,Athens State University - Alabama Center for the Arts,Decatur,AL,I,1
100900,Auburn University,Auburn,AL,I,1
101000,Birmingham Baptist College,Birmingham,AL,I,1
101200,Birmingham-Southern College,Birmingham,AL,I,1
101300,Calhoun Community College,Tanner,AL,I,1
101301,Calhoun Community College - Huntsville,Huntsville,AL,I,1
101302,Calhoun Community College - Redstone Arsenal,Redstone Arsenal,AL,I,1
101303,Calhoun Community College - Alabama Center for the Arts,Decatur,AL,I,1
101304,Calhoun Community College - HEMSI Station 2,Huntsville,AL,I,1
101305,Calhoun Community College - Madison County Career Technical Center,Huntsville,AL,I,1
101400,Daniel Payne College,Birmingham,AL,I,1
101500,Enterprise State Community College,Enterprise,AL,I,1
101501,Enterprise State Community College - Fort Rucker Site,Fort Rucker,AL,I,1
101502,"Enterprise State Community College - Alabama Aviation College, Ozark",Ozark,AL,I,1
101503,"Enterprise State Community College - Alabama Aviation College, Mobile",Mobile,AL,I,1
101504,"Enterprise State Community College - Alabama Av College, Andalusia",Andalusia,AL,I,1
101505,"Enterprise State Community College - Alabama Av College, Albertville",Albertville,AL,I,1
101506,Enterprise State Community College - Alabama Aviation Ctr at Decatur,Tanner,AL,I,1
101600,University of North Alabama,Florence,AL,I,1
101700,Gadsden State Community College,Gadsden,AL,I,1
101701,Gadsden State Community College - East Broad Site,Gadsden,AL,I,1
101702,Gadsden State Community College - Valley Street Site,Gadsden,AL,I,1
101703,Gadsden State Community College - McClellan Site,Anniston,AL,I,1
101704,Gadsden State Community College - Fort McClellan Site,Fort McClellan,AL,I,1
101705,Gadsden State Community College - Pell City Site,Pell City,AL,I,1
101706,Gadsden State Community College - Harry M. Ayers Campus,Anniston,AL,I,1
101707,Gadsden State Community College - Cleburne County Site,Heflin,AL,I,1
101708,Gadsden State Community College - Piedmont Site,Piedmont,AL,I,1
101709,Gadsden State Community College - Cherokee,Centre,AL,I,1
101800,George C. Wallace Community College,Dothan,AL,I,1
101801,George C. Wallace Community College - Fort Rucker Center,Fort Rucker,AL,I,1
101802,George C. Wallace Community College - Fort Rucker,Fort Rucker,AL,I,1
101803,George C. Wallace Community College - Aviation Campus,Ozark,AL,I,1
101804,George C. Wallace Community College - Aviation Center at Mobile,Mobile,AL,I,1
101805,George C. Wallace Community College - Fort Rucker Center,Fort Rucker,AL,I,1
101806,George C. Wallace Community College - Sparks Campus,Eufaula,AL,I,1
101900,Huntingdon College,Montgomery,AL,I,1
101901,Huntingdon College - Enterprise,Enterprise,AL,I,1
101902,Huntingdon College - Bay Minette,Bay Minette,AL,I,1
101903,Huntingdon College - Brewton,Brewton,AL,I,1
101904,Huntingdon College - Center Point,Birmingham,AL,I,1
101905,Huntingdon College - Daphne,Daphne,AL,I,1
101906,Huntingdon College - Pell City,Pell City,AL,I,1
101907,Huntingdon College - Shelby,Birmingham,AL,I,1
101908,Huntingdon College - CenterPoint,Birmingham,AL,I,1
101909,Huntingdon College - Shelby,Birmingham,AL,I,1
102000,Jacksonville State University,Jacksonville,AL,I,1
102100,Jefferson Davis Community College,Brewton,AL,I,1
102101,Jefferson Davis Community College - Atmore Campus,Atmore,AL,I,1
102102,Jefferson Davis Community College - Fountain Correctional Center,Atmore,AL,I,1
102103,Jefferson Davis Community College - Holman Prison,Atmore,AL,I,1
102200,Jefferson State Community College,Birmingham,AL,I,1
102201,Jefferson State Community College - Shelby-Hoover Campus,Birmingham,AL,I,1
102202,Jefferson State Community College - Chilton-Clanton Center,Clanton,AL,I,1
102203,Jefferson State Community College - St.Clair-Pell City Center,Pell City,AL,I,1
102300,Judson College,Marion,AL,I,1
102400,University of West Alabama,Livingston,AL,I,1
102500,Lomax Hannon Junior College,Greenville,AL,I,1
102600,Marion Military Institute,Marion,AL,I,1
102800,Miles College,Fairfield,AL,I,1
102801,"Miles College - Fairfield, Ala.",Fairfield,AL,I,1
102900,University of Mobile,Mobile,AL,I,1
102901,University of Mobile - Nicaragua,San Marcos,,I,
103000,Bishop State Community College - Main Campus,Mobile,AL,I,1
103001,Bishop State Community College - Carver Campus,Mobile,AL,I,1
103002,Bishop State Community College - Southwest Campus,Mobile,AL,I,1
103003,Bishop State Community College - Central Campus,Mobile,AL,I,1
103100,Northeast Alabama Community College,Rainsville,AL,I,1
103200,Northwest Alabama Community College,Phil Campbell,AL,I,1
103201,Branch Campus,Hamilton,AL,I,1
103300,Oakwood University,Huntsville,AL,I,1
103400,Alabama Southern Community College,Monroeville,AL,I,1
103401,Alabama Southern Community College - Thomasville Campus,Thomasville,AL,I,1
103402,Alabama Southern Community College - Demopolis Campus,Demopolis,AL,I,1
103403,Alabama Southern Community College - Gilbertown Campus,Gilbertown,AL,I,1
103404,Alabama Southern Community College - Jackson Campus,Jackson,AL,I,1
103405,Alabama Southern Community College - Demopolis Campus,Demopolis,AL,I,1
103500,Southern Benedictine College,St Bernard,AL,I,1
103600,Samford University,Birmingham,AL,I,1
103700,Selma University,Selma,AL,I,1
103800,Snead State Community College,Boaz,AL,I,1
103801,Snead State Community College - Arab Instructional Site,Arab,AL,I,1
103802,Snead State Community College - Blount County Instructional Site,Cleveland,AL,I,1
103803,Snead State Community College - Albertville Aviation Center,Albertville,AL,I,1
103900,Southeastern Bible College,Birmingham,AL,I,1
104000,Southern Union State Community College,Wadley,AL,I,1
104001,Southern Union State Community College - Valley Campus,Valley,AL,I,1
104002,Southern Union State Community College - Opelika Campus,Opelika,AL,I,1
104003,Southern Union State Community College - Fort Benning Military Base,Fort Benning,GA,I,13
104100,Spring Hill College,Mobile,AL,I,1
104101,Spring Hill College - Birmingham,Birmingham,AL,I,1
104102,Spring Hill College - Atlanta Program,Atlanta,GA,I,13
104103,Spring Hill College - Jackson/Pearl,Jackson,MS,I,28
104200,Spring Hill College Saint Charles College Division,Grand Coteau,LA,I,22
104300,St Bernard College,St Bernard,AL,I,1
104400,Stillman College,Tuscaloosa,AL,I,1
104600,Talladega College,Talladega,AL,I,1
104700,Troy University,Troy,AL,I,1
104701,Troy State University - At Dothan,Dothan,AL,I,1
104702,Troy State University - at Montgomery,Montgomery,AL,I,1
104703,Troy University - Phenix City,Phenix City,AL,I,1
104704,Troy University - Fort Benning,Fort Benning,GA,I,13
104705,Troy University - Florida Region,Fort Walton Beach,FL,I,12
104706,Troy University - Norfolk Naval Station,Norfolk,VA,I,51
104707,Troy University - Arlington,Arlington,VA,I,51
104708,Troy University - Hawaii,Hickam Air Force Base,HI,I,15
104709,Troy State University - White Sands,White Sands Missile Range,NM,I,35
104710,Troy University - Holloman Air Force Base,Holloman Air Force Base,NM,I,35
104711,Troy University - Davis/Monthan,Tuscon,AZ,I,4
104712,Troy University - Shaw Air Force Base,Shaw Air Force Base,SC,I,45
104713,Troy State University - Europe,APO AE 09094-4535,,I,
104714,Troy State University - Cuba,FPO AE  09593-0019,,I,
104715,Troy University - Pacific Region,"Kadena AFB, APO AP",,I,
104716,Troy University - Ft. Bragg,Fayetteville,NC,I,37
104717,Troy University - Brunswick,Brunswick,GA,I,13
104718,Troy University - Atlanta,Atlanta,GA,I,13
104719,Troy University - Fort Lewis,Fort Lewis,WA,I,53
104720,Troy University - Fort Carson,Fort Carson,CO,I,8
104721,Troy University - Keesler AFB,Keesler AFB,MS,I,28
104722,Troy University - MacDill,Tampa,FL,I,12
104723,Troy University - Malmstrom AFB,Malmstrom AFB,MT,I,30
104724,Troy University - New Orleans,New Orleans,LA,I,22
104725,Troy University - Orlando,Altamonte Springs,FL,I,12
104726,Troy University - Pensacola NAS,Pensacola,FL,I,12
104727,Troy University - Tyndall,Tyndall AFB,FL,I,12
104728,Troy University - Guam,Tamuning,GU,I,66
104729,Troy University - Camp Zama,Camp Zama,,I,
104730,Troy University - Misawa,Misawa,,I,
104731,Troy University - Osan,Osan,,I,
104732,Troy University - Sasbo,Sasbo,,I,
104733,Troy University - Taegu Hub,Taegu Hub,,I,
104734,Troy University - Yokosuka Naval Station,Yokosuka,,I,
104735,Troy University - Yokota Naval Station,Yokota,,I,
104736,Troy University - Yongsan,Yongsan,,I,
104737,Troy University - Southeast Region,Columbus,GA,I,13
104738,Troy University - Augusta,Augusta,GA,I,13
104739,Troy University - Covington,Covington,GA,I,13
104740,Troy University - Annapolis,Bethesda,MD,I,24
104741,Troy University - Bethesda,Bethesda,MD,I,24
104742,Troy University - Dam Neck,Virginia Beach,VA,I,51
104743,Troy University - Fort Belvoir,Fort Belvoir,VA,I,51
104744,Troy University - Fort Eustis,Fort Eustis,VA,I,51
104745,Troy University - Fort Monroe,Fort Monoe,VA,I,51
104746,Troy University - Langley AFB,Langley AFB,VA,I,51
104747,Troy University - Naval Medical Center,Portsmouth,VA,I,51
104748,Troy University - Oceana,Virginia Beach,VA,I,51
104749,Troy University - Fort Myer,Fort Myer,VA,I,51
104750,Troy University - Little Creek,Virginia Beach,VA,I,51
104751,Troy University - Eglin,Eglin AFB,FL,I,12
104752,Troy University - Hurlburt,Hurlburt Field,FL,I,12
104753,Troy University - Albany,Albany,GA,I,13
104754,Troy University - Dothan,Dothan,AL,I,1
104755,Troy University - Montgomery,Montgomery,AL,I,1
104756,Troy University - Fort Rucker,Fort Rucker,AL,I,1
104757,Troy University - Jacksonville,Jacksonville,FL,I,12
104758,Troy University - Pensacola,Pensacola,FL,I,12
104759,Troy University - Tampa,Tampa,FL,I,12
104760,Troy University - Clarksville,Clarksville,TN,I,47
104761,Troy University - Savannah,Savannah,GA,I,13
104762,Troy University - Vidalia,Vidalia,GA,I,13
104763,Troy University - Tifton,Tifton,GA,I,13
104764,Troy University - Charleston,Charleston,SC,I,45
104765,Troy University - Sumter,Sumter,SC,I,45
104766,Troy University - Colorado Springs,Colorado Springs,CO,I,8
104767,Troy University - Atlantic Regional,Norfolk,VA,I,51
104768,Troy University - Harrisburg,Harrisburg,PA,I,42
104769,"Troy University - Kent, WA",Kent,WA,I,53
104770,Troy University - San Antonio,San Antonio,TX,I,48
104771,"Troy University - Heidelberg, Germany",Heidelberg,,I,
104772,"Troy University - Bangkok, Thailand","Surawong, Bangkok",,I,
104773,"Troy University - Kuala Lumpur, Malaysia",Melaka,,I,
104774,Troy University - Marianna,Marianna,FL,I,12
104775,Troy University - Osan AFB,Osan AFB,,I,
104776,Troy University - Ho Chi Minh City,Ho Chi Minh City,,I,
104777,Troy University - Hanoi,Hanoi,,I,
104778,Troy University - Camp Humphreys,"Pyongtek, APO AP",,I,
104800,Troy State University Dothan,Dothan,AL,I,1
104801,Troy State University - Fort Rucker Site,Fort Rucker,AL,I,1
104802,Troy State University Dothan - Fort Rucker,Fort Rucker,AL,I,1
104900,Troy State University Montgomery,Montgomery,AL,I,1
105000,Tuskegee University,Tuskegee Institute,AL,I,1
105100,University of Alabama,Tuscaloosa,AL,I,1
105101,University of Alabama - Gadsden Center,Gadsden,AL,I,1
105102,University of Alabama - Maxwell Air Force Base Educational program,Montgomery,AL,I,1
105200,University of Alabama at Birmingham,Birmingham,AL,I,1
105201,University of Alabama at Birmingham - Walker College,Jasper,AL,I,1
105202,University of Alabama at Birmingham - West Elementary,Cullman,AL,I,1
105203,University of Alabama at Birmingham - Simmons Middle,Hoover,AL,I,1
105204,University of Alabama at Birmingham - Crossroads School,Hoover,AL,I,1
105205,University of Alabama at Birmingham - Cullman Area Career Center,Cullman,AL,I,1
105400,University of Alabama,Tuscaloosa,AL,I,1
105500,University of Alabama in Huntsville,Huntsville,AL,I,1
105600,University of Alabama at Montgomery,Montgomery,AL,I,1
105700,University of South Alabama,Mobile,AL,I,1
105800,Walker College,Jasper,AL,I,1
105900,Lawson State Community College,Birmingham,AL,I,1
105901,Lawson State Community College - Bessemer Campus,Bessemer,AL,I,1
106000,Coastal Alabama Community College,Bay Minette,AL,I,1
106001,Coastal Alabama Community College - Fairhope Campus,Fairhope,AL,I,1
106002,Coastal Alabama Communty College - Gulf Shores Campus,Gulf Shores,AL,I,1
106003,Coastal Alabama Community College - Academy at Fairhope Airpt,Fairhope,AL,I,1
106004,Coastal Alabama Community College - N Baldwin Center for Tech,Bay Minette,AL,I,1
106005,Coastal Alabama Community College - S Baldwin Center for Tech,Robertsdale,AL,I,1
106006,Coastal Alabama Community College - Monroeville Campus,Monroeville,AL,I,1
106007,Coastal Alabama Community College - Thomasville Campus,Thomasville,AL,I,1
106008,Coastal Alabama Community College - Gilbertown Campus,Gilbertown,AL,I,1
106009,Coastal Alabama Community College - Jackson Campus,Jackson,AL,I,1
106010,Coastal Alabama Community College - Brewton Campus,Brewton,AL,I,1
106011,Coastal Alabama Community College - Atmore Campus,Atmore,AL,I,1
106012,Coastal Alabama Community College - Fountain Correctional Center,Atmore,AL,I,1
106013,Coastal Alabama Community College - Holman Prison,Atmore,AL,I,1
106014,Coastal Alabama Community College - Alabama Aviation Center,Mobile,AL,I,1
106100,Alaska Pacific University,Anchorage,AK,I,2
106200,Sheldon Jackson College,Sitka,AK,I,2
106300,University of Alaska Fairbanks,Fairbanks,AK,I,2
106301,University of Alaska Fairbanks - Northwest  Campus,Nome,AK,I,2
106302,University of Alaska Fairbanks - Kodiak Community College,Kodiak,AK,I,2
106303,University of Alaska Fairbanks - Chukchi Campus,Kotzebue,AK,I,2
106304,University of Alaska Fairbanks - Kuskokwin Campus,Bethel,AK,I,2
106305,University of Alaska at Fairbanks - Northwest Community College,Nome,AK,I,2
106306,University of Alaska Fairbanks - Community and Technical College,Fairbanks,AK,I,2
106307,University of Alaska Fairbanks - Bristol Bay Campus,Dillingham,AK,I,2
106308,University of Alaska Fairbanks - Aleutian/Pribolof Center,Unalaska,AK,I,2
106309,University of Alaska Fairbanks - McGrath Center,McGrath,AK,I,2
106310,University of Alaska Fairbanks - Tok Center,Tok,AK,I,2
106311,University of Alaska Fairbanks - Yukon Flats Center,Fort Yukon,AK,I,2
106312,University of Alaska Fairbanks - Yukon-Koyukuk Center,Galena,AK,I,2
106313,University of Alaska Fairbanks - Nenana Center,Fairbanks,AK,I,2
106314,University of Alaska Fairbanks - Interior Alaska Campus,Fairbanks,AK,I,2
106400,University of Alaska at Anchorage,Anchorage,AK,I,2
106401,Anchorage Community College,Anchorage,AK,I,2
106402,Kenai Peninsula Community College,Soldotna,AK,I,2
106403,Kodiak Community College,Kodiak,AK,I,2
106404,Matanuska-Susitna Community Collegeg,Palmer,AK,I,2
106500,University of Alaska Southeast,Juneau,AK,I,2
106501,University of Alaska Southeast - Sitka Campus,Sitka,AK,I,2
106502,University of Alaska Southeast - Ketchikan Campus,Ketchikan,AK,I,2
106503,University of Alaska Southeast - Elmendorf Air Force Base,Elmendorf AFB,AK,I,2
106504,University of Alaska Southeast - Adak Education Center,Intra-Alaska FPO-AP,AK,I,2
106505,University of Alaska Southeast - Eielson Education Center,Eielson AFB,AK,I,2
106506,University of Alaska Southeast - Fort Richardson Army Post,Fort Richardson,AK,I,2
106507,University of Alaska Southeast - Fort Wainwright Education Center,Fort Wainwright,AK,I,2
106508,University of Alaska Southeast - Fort Greely Education Center,Delta Junction,AK,I,2
106600,Kenai Peninsula College,Soldotna,AK,I,2
106700,Ketchikan College,Ketchikan,AK,I,2
106800,Matanuska Susitna Community College,Palmer,AK,I,2
106900,Islands College,Sitka,AK,I,2
107000,Thunderbird School of Global Management,Glendale,AZ,I,4
107001,"Thunderbird, The Garvin School of International Management - Europe",Archamp,,I,
107002,Thunderbird School of Global Management - Miami Site,Doral,FL,I,12
107003,Thunderbird School of Global Management - Grad Inst/Int'l Dev Studies,Geneva 21,,I,
107004,Thunderbird School of Global Management - La Univ Privada/Santa Cruz,Santa Cruz de la Sierra,,I,
107005,Thunderbird School of Global Management - Tech de Mont Sede Lima,Lima,,I,
107006,Thunderbird School of Global Management - Tec de Mont Sede Bogota,Bogotá Bolívar,,I,
107007,Thunderbird School of Global Management - Esc Sup de Econ y Negocios,San Salvador,,I,
107008,Thunderbird School of Global Management - Costa Rica,"Heredia, Barva, San Pedro",,I,
107009,Thunderbird School of Global Management - Guadalajara Site,Zapopan,,I,
107010,Thunderbird School of Global Management - Leon Site,Leon,,I,
107011,Thunderbird School of Global Management - Mexico City Site,Mexico City,,I,
107012,Thunderbird School of Global Management - Santa Fe Site,Mexico City,,I,
107013,Thunderbird School of Global Management - Mexico State Site,Atizapan de Zaragoza,,I,
107014,Thunderbird School of Global Management - Monterrey Site,Monterrey,,I,
107100,Arizona Western College,Yuma,AZ,I,4
107101,Arizona Western College - Parker Learning Center,Parker,AZ,I,4
107102,Arizona Western College - San Luis Center,San Luis,AZ,I,4
107103,Arizona Western College - Downtown Center,Yuma,AZ,I,4
107104,Arizona Western College - Somerton Center,Somerton,AZ,I,4
107105,Arizona Western College - Construction Trades,Yuma,AZ,I,4
107106,Arizona Western College - East Yuma County,Wellton,AZ,I,4
107107,Arizona Western College - La Paz Technology Center,parker,AZ,I,4
107108,Arizona Western College - San Luis Technology Institute,San Luis,AZ,I,4
107109,Arizona Western College - Massage Therapy Center,Yuma,AZ,I,4
107110,Arizona Western College - AWC LETA Facility,Yuma,AZ,I,4
107111,Arizona Western College - Arizona State Prison Complex,Yuma,AZ,I,4
107112,Arizona Western College - Aztec High School,Yuma,AZ,I,4
107113,Arizona Western College - M.C.A.S. Education Center,Yuma,AZ,I,4
107114,Arizona Western College - Quartzsite Fire Station,Quartzsite,AZ,I,4
107115,Arizona Western College - Quartzsite Learning Center,Quartzsite,AZ,I,4
107116,Arizona Western College - STEDY,Yuma,AZ,I,4
107117,Arizona Western College - Vista High School,Yuma,AZ,I,4
107118,Arizona Western College - Wellton Learning Center,Wellton,AZ,I,4
107119,Arizona Western College - Yuma Catholic High School,Yuma,AZ,I,4
107120,Arizona Western College - Yuma Fire Station 5,Yuma,AZ,I,4
107200,Cochise College,Sierra Vista,AZ,I,4
107201,Cochise College - Sierra Vista Campus,Sierra Vista,AZ,I,4
107202,Cochise College - Willcox,Willcox,AZ,I,4
107203,Cochise College- Benson,Benson,AZ,I,4
107204,Cochise College - Santa Cruz  Center,Nogales,AZ,I,4
107205,Cochise College - Army Education Center,Ft. Huachuca,AZ,I,4
107206,Cochise College -Automotive Complex,Sierra Vista,AZ,I,4
107207,Cochise College - Downtown Center,Sierra Vista,AZ,I,4
107208,Cochise College- Douglas,Douglas,AZ,I,4
107300,Eastern Arizona College,Thatcher,AZ,I,4
107301,Eastern Arizona College - Gila Pueblo,Globe,AZ,I,4
107302,Eastern Arizona College - Morenci High School,Morenci,AZ,I,4
107303,Eastern Arizona College - Payson,Payson,AZ,I,4
107304,Eastern Arizona College - Safford College of Beauty Culture,Safford,AZ,I,4
107305,Eastern Arizona College - San Carlos,San Carlos,AZ,I,4
107306,Eastern Arizona College - Hayden/Winkelman,Winkelman,AZ,I,4
107307,Eastern Arizona College - Phelps Dodge Mining Tech. Training Center,Thatcher,AZ,I,4
107308,Eastern Arizona College - Eastern Arizona Academy of Cosmetology,Safford,AZ,I,4
107309,"Eastern Arizona College - Advanced Air Systems, LLC",Thatcher,AZ,I,4
107310,Eastern Arizona College - Pleasant Valley Fire District,Young,AZ,I,4
107311,Eastern Arizona College - Miami Regional Training Center,Miami,AZ,I,4
107312,Eastern Arizona College - Gila County Maintenance Yard-Payson,Payson,AZ,I,4
107313,Eastern Arizona College - Payson Fire Department Station 11,Payson,AZ,I,4
107400,Grand Canyon University,Phoenix,AZ,I,4
107401,Grand Canyon University - College of Continuing Studies,Phoenix,AZ,I,4
107402,Grand Canyon University - Chandler,Gilbert,AZ,I,4
107403,Grand Canyon University - Avondale,Avondale,AZ,I,4
107404,Grand Canyon University - Tucson,Tucson,AZ,I,4
107405,Grand Canyon University -  St. Joseph's Hospital and Medical Center,Phoenix,AZ,I,4
107406,Grand Canyon University - Tucson - Pantano,Tucson,AZ,I,4
107407,Grand Canyon University - Scottsdale Healthcare,Scottsdale,AZ,I,4
107408,Grand Canyon University - Scottsdale Healthcare - Osborn,Scottsdale,AZ,I,4
107409,Grand Canyon University - Scottsdale Lincoln North Mountain,Phoenix,AZ,I,4
107410,Grand Canyon University - St. Lukes Medical Center,Phoenix,AZ,I,4
107411,Grand Canyon University - Phoenix Maricopa Health,Phoenix,AZ,I,4
107412,Grand Canyon University - Mesa BDMC,Mesa,AZ,I,4
107413,Grand Canyon University - Phoenix BGS,Phoenix,AZ,I,4
107414,Grand Canyon University - Chandler Med Cntr,Chandler,AZ,I,4
107415,Grand Canyon University - Mesa Unified,Mesa,AZ,I,4
107416,Grand Canyon University - Glendale - Banner Thunderbird,Glendale,AZ,I,4
107417,Grand Canyon University - Phoenix JCL DV,Phoenix,AZ,I,4
107418,Grand Canyon University - Phoenix Mayo,Phoenix,AZ,I,4
107419,Grand Canyon University - Phoenix Children Hosp,Phoenix,AZ,I,4
107420,Grand Canyon University - Sun City Sun Health (Banner Boswell),Sun City,AZ,I,4
107421,Grand Canyon University - Tucson St Joseph,Tucson,AZ,I,4
107422,Grand Canyon University - Casa Grande Med Center,Casa Grande,AZ,I,4
107423,Grand Canyon University - Gilbert Banner,Gilbert,AZ,I,4
107424,Grand Canyon University - Gilbert Mercy,Gilbert,AZ,I,4
107425,Grand Canyon University - Mesa Community College,Mesa,AZ,I,4
107426,Grand Canyon University - Banner Estrella,Phoenix,AZ,I,4
107427,Grand Canyon University - Phoenix VA Healthcare,Phoenix,AZ,I,4
107428,Grand Canyon University - Tempe GCU,Tempe,AZ,I,4
107429,Grand Canyon University - Tempe St. Luke Hospital,Tempe,AZ,I,4
107430,Grand Canyon University - Tucson Medical Center,Tucson,AZ,I,4
107431,Grand Canyon University - Banner Desert,Mesa,AZ,I,4
107432,Grand Canyon University - Avondale Estrella Mountain Community College,Avondale,AZ,I,4
107433,Grand Canyon University - Mesa AT Still,Mesa,AZ,I,4
107434,Grand Canyon University - Peoria Public Safety,Peoria,AZ,I,4
107435,Grand Canyon University -  Abrazo Phoenix West Valley Hospital,Arizona,AZ,I,4
107436,Grand Canyon University -  Cochise Community College,Sierra Vista,AZ,I,4
107437,Grand Canyon University -  Albuquerque,Albuquerque,NM,I,35
